# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 14:14:16 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
#
pl_name,pl_controv_flag,pl_orbper,pl_orbsmax,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
Kepler-1312 b,0,5.44832529,,,,,,,,,5719.00,0.92,0.99,-0.020,,4.51,2.000,
Kepler-1312 b,0,5.44832426,,,,,,,,,5602.86,0.95,0.99,0.083,-0.099,4.48,,1.6438
Kepler-1312 b,0,5.44832207,,,,,,,,,5602.86,0.95,0.99,0.083,-0.099,4.48,,1.6438
Kepler-1312 b,0,5.44832470,0.060000,,,,0.000000,,943,,5706.00,0.84,0.95,,,4.56,0.400,
Kepler-1312 b,0,5.44832108,,,,,,,,,5602.86,0.95,0.99,0.083,-0.099,4.48,,1.6438
Kepler-1312 b,0,5.44832529,0.057500,,,,0.000000,171.57,923,,5674.00,0.78,0.85,-0.380,,4.58,,4.3825
Kepler-1312 b,0,5.44832529,0.057500,,,,0.000000,171.57,923,,5674.00,0.78,0.85,-0.380,,4.58,,4.3825
Kepler-1312 b,0,5.44832529,0.057500,,,,0.000000,171.57,923,,5674.00,0.78,0.85,-0.380,,4.58,,4.3825
Kepler-1312 c,0,1.11613190,0.021000,,,,0.000000,,1595,,5706.00,0.84,0.95,,,4.56,0.400,
Kepler-1312 c,0,1.11611998,,,,,,,,,5721.00,0.91,0.98,0.020,,4.52,,1.9618
Kepler-1312 c,0,1.11612900,0.020000,,,,0.000000,1418.14,1565,,5674.00,0.78,0.85,-0.380,,4.58,,3.9048
Kepler-1312 c,0,1.11612900,0.020000,,,,0.000000,1418.14,1565,,5674.00,0.78,0.85,-0.380,,4.58,,3.9048
Kepler-1312 c,0,1.11612900,0.020000,,,,0.000000,1418.14,1565,,5674.00,0.78,0.85,-0.380,,4.58,,3.9048
Kepler-1312 c,0,1.11612717,,,,,,,,,5602.86,0.95,0.99,0.083,-0.099,4.48,,1.6438
Kepler-1312 c,0,1.11612717,0.020900,,,,0.000000,1797.63,1659,,5721.00,0.91,0.98,0.020,,4.52,,1.9618
Kepler-1313 b,0,3.83309118,0.045400,,,,0.000000,994.01,1432,,5351.00,1.67,0.85,-0.360,,3.92,,10.7900
Kepler-1313 b,0,3.83308818,,,,,,,,,5357.56,0.80,0.93,0.116,-0.325,4.60,,2.5662
Kepler-1313 b,0,3.83308904,,,,,,,,,5357.56,0.80,0.93,0.116,-0.325,4.60,,2.5662
Kepler-1313 b,0,3.83309118,,,,,,,,,5453.00,0.85,0.92,0.000,,4.54,2.690,
Kepler-1313 b,0,3.83309150,0.046000,,,,0.000000,,1392,,5371.00,1.59,0.91,,,4.00,13.900,
Kepler-1313 b,0,3.83308764,,,,,,,,,5357.56,0.80,0.93,0.116,-0.325,4.60,,2.5662
Kepler-1313 b,0,3.83309118,0.045400,,,,0.000000,994.01,1432,,5351.00,1.67,0.85,-0.360,,3.92,,10.7900
Kepler-1313 b,0,,,,,,,227.20,,,5416.00,0.79,,,,,,
Kepler-1313 b,0,3.83308764,0.046000,,,,0.000000,247.80,1012,,5397.00,0.83,0.88,-0.020,,4.54,,0.7437
Kepler-1313 b,0,3.83309118,0.045400,,,,0.000000,994.01,1432,,5351.00,1.67,0.85,-0.360,,3.92,,10.7900
Kepler-1314 b,0,5.42474680,0.036000,,,,0.000000,,391,,3240.00,0.27,0.21,,,4.90,,
Kepler-1314 b,0,5.42474724,,,,,,,,,3808.00,0.26,0.23,,-1.891,4.97,,18.5341
Kepler-1314 b,0,5.42474928,0.050400,,,,0.000000,36.31,626,,4141.00,0.59,0.58,-0.220,,4.66,,38.1066
Kepler-1314 b,0,5.42475029,,,,,,,,,3808.00,0.26,0.23,,-1.891,4.97,,18.5341
Kepler-1314 b,0,5.42474928,,,,,,,,,4188.00,0.59,0.60,-0.220,,4.68,6.030,
Kepler-1314 b,0,5.42474933,,,,,,,,,3808.00,0.26,0.23,,-1.891,4.97,,18.5341
Kepler-1314 b,0,5.42474928,0.050400,,,,0.000000,36.31,626,,4141.00,0.59,0.58,-0.220,,4.66,,38.1066
Kepler-1314 b,0,5.42474933,0.050400,,,,0.000000,36.05,625,,4137.00,0.59,0.58,-0.220,,4.66,,38.9840
Kepler-1314 b,0,5.42474928,0.050400,,,,0.000000,36.31,626,,4141.00,0.59,0.58,-0.220,,4.66,,38.1066
Kepler-1315 b,0,0.84337998,,,,,,,,,4710.62,0.73,0.75,0.320,-0.628,4.59,,2.7321
Kepler-1315 b,0,0.84338020,0.015000,,,,0.000000,,1362,,4703.00,0.65,0.67,,,4.64,14.000,
Kepler-1315 b,0,0.84338011,0.016300,,,,0.000000,1329.99,1540,,4818.00,0.86,0.81,0.560,,4.48,,2.4977
Kepler-1315 b,0,0.84338011,0.016300,,,,0.000000,1329.99,1540,,4818.00,0.86,0.81,0.560,,4.48,,2.4977
Kepler-1315 b,0,,,,,,,897.90,,,4780.00,0.71,,,,,,
Kepler-1315 b,0,0.84338355,,,,,,,,,4710.62,0.73,0.75,0.320,-0.628,4.59,,2.7321
Kepler-1315 b,0,0.84338011,,,,,,,,,4861.00,0.75,0.80,0.070,,4.60,3.470,
Kepler-1315 b,0,0.84338011,0.016300,,,,0.000000,1329.99,1540,,4818.00,0.86,0.81,0.560,,4.48,,2.4977
Kepler-1315 b,0,0.84337998,0.016300,,,,0.000000,1329.99,1541,,4818.00,0.86,0.81,0.560,,4.48,,1.0538
Kepler-1315 c,0,6.56606007,,,,,,,,,4818.00,0.86,0.81,0.560,,4.48,,3.7738
Kepler-1315 c,0,6.56606842,0.064000,,,,0.000000,86.27,777,,4818.00,0.86,0.81,0.560,,4.48,,9.5360
Kepler-1315 c,0,6.56606842,0.064000,,,,0.000000,86.27,777,,4818.00,0.86,0.81,0.560,,4.48,,9.5360
Kepler-1315 c,0,6.56606340,,,,,,,,,4710.62,0.73,0.75,0.320,-0.628,4.59,,2.7321
Kepler-1315 c,0,6.56606941,0.064000,,,,0.000000,86.27,777,,4818.00,0.86,0.81,0.560,,4.48,,3.7738
Kepler-1315 c,0,6.56607500,0.060000,,,,0.000000,,681,,4703.00,0.65,0.67,,,4.64,14.000,
Kepler-1315 c,0,6.56606941,,,,,,,,,4710.62,0.73,0.75,0.320,-0.628,4.59,,2.7321
Kepler-1315 c,0,6.56606842,0.064000,,,,0.000000,86.27,777,,4818.00,0.86,0.81,0.560,,4.48,,9.5360
Kepler-1316 b,0,87.97242270,0.385900,,,,0.000000,9.37,446,,5837.00,1.16,0.99,0.000,,4.30,,0.2561
Kepler-1316 b,0,,,,,,,10.71,,,5936.00,1.20,,,,,,
Kepler-1316 b,0,87.97314465,,,,,,,,,6126.00,1.19,1.16,,0.253,4.35,,0.9739
Kepler-1316 b,0,87.97321360,0.379300,,,,0.000000,5.14,384,,5821.00,0.85,0.94,-0.220,,4.55,,0.2529
Kepler-1316 b,0,87.97321360,0.379300,,,,0.000000,5.14,384,,5821.00,0.85,0.94,-0.220,,4.55,,0.2529
Kepler-1316 b,0,87.97294000,0.385000,,,,0.000000,,388,,5823.00,0.88,0.98,,,4.54,0.400,
Kepler-1316 b,0,87.97321360,0.379300,,,,0.000000,5.14,384,,5821.00,0.85,0.94,-0.220,,4.55,,0.2529
Kepler-1316 b,0,87.97321360,,,,,,,,,5884.00,1.12,1.04,0.030,,4.36,5.130,
Kepler-1316 b,0,87.97242270,,,,,,,,,6126.00,1.19,1.16,,0.253,4.35,,0.9739
Kepler-1317 b,0,0.56887443,0.012900,,,,0.000000,2484.47,1801,,5216.00,0.79,0.87,0.060,,4.58,,2.9284
Kepler-1317 b,0,0.56887195,,,,,,,,,5057.15,0.81,0.84,0.303,-0.414,4.55,,2.2350
Kepler-1317 b,0,0.56887443,0.012900,,,,0.000000,2484.47,1801,,5216.00,0.79,0.87,0.060,,4.58,,2.9284
Kepler-1317 b,0,0.56887443,0.012900,,,,0.000000,2484.47,1801,,5216.00,0.79,0.87,0.060,,4.58,,2.9284
Kepler-1317 b,0,0.56887630,0.013000,,,,0.000000,,1683,,5159.00,0.71,0.81,,,4.64,0.800,
Kepler-1317 b,0,,,,,,,2413.26,,,5220.00,0.77,,,,,,
Kepler-1317 b,0,0.56887472,0.012800,,,,0.000000,2473.19,1796,,5223.00,0.78,0.89,0.070,,4.59,,2.9020
Kepler-1317 b,0,0.56887443,,,,,,,,,5144.00,0.79,0.83,-0.010,,4.57,4.790,
Kepler-1317 b,0,0.56887472,,,,,,,,,5057.15,0.81,0.84,0.303,-0.414,4.55,,2.2350
Kepler-1318 b,0,213.25766300,,,,,,,,,4598.00,0.70,0.73,-0.010,,4.62,4.570,
Kepler-1318 b,0,213.25766300,0.608500,,,,0.000000,0.39,202,,4476.00,0.64,0.66,-0.200,,4.65,,4.3096
Kepler-1318 b,0,,,,,,,0.49,,,4476.00,0.71,,,,,,
Kepler-1318 b,0,213.25904043,,,,,,,,,4505.00,0.71,0.71,,-0.730,4.59,,2.8072
Kepler-1318 b,0,213.25852600,,,,,,,,,4505.00,0.71,0.71,,-0.730,4.59,,2.8072
Kepler-1318 b,0,213.25766300,0.608500,,,,0.000000,0.39,202,,4476.00,0.64,0.66,-0.200,,4.65,,4.3096
Kepler-1318 b,0,213.25766300,0.608500,,,,0.000000,0.39,202,,4476.00,0.64,0.66,-0.200,,4.65,,4.3096
Kepler-1318 b,0,213.25700851,,,,,,,,,4505.00,0.71,0.71,,-0.730,4.59,,2.8072
Kepler-1318 b,0,213.25852600,0.608500,,,,0.000000,0.39,202,,4477.00,0.64,0.66,-0.200,,4.65,,4.2967
Kepler-1318 b,0,213.25670000,0.599000,,,,0.000000,,199,,4504.00,0.60,0.63,,,4.68,13.900,
Kepler-1319 b,0,2.88676270,0.024000,,,,0.000000,,479,,3240.00,0.27,0.21,,,4.90,,
Kepler-1319 b,0,2.88676012,,,,,,,,,3527.00,0.50,0.50,,-1.457,4.74,,5.6128
Kepler-1319 b,0,2.88676240,0.029600,,,,0.000000,22.75,557,,3483.00,0.39,0.41,0.100,,4.88,,2.5215
Kepler-1319 b,0,2.88676265,0.025600,,,,0.000000,12.91,483,,3400.00,0.27,0.27,-0.160,,5.01,,36.7621
Kepler-1319 b,0,2.88676240,,,,,,,,,3527.00,0.50,0.50,,-1.457,4.74,,5.6128
Kepler-1319 b,0,2.88676265,0.025600,,,,0.000000,12.91,483,,3400.00,0.27,0.27,-0.160,,5.01,,36.7621
Kepler-1319 b,0,2.88676265,0.025600,,,,0.000000,12.91,483,,3400.00,0.27,0.27,-0.160,,5.01,,36.7621
Kepler-1319 b,0,2.88676368,,,,,,,,,3527.00,0.50,0.50,,-1.457,4.74,,5.6128
Kepler-1319 b,0,2.88676265,,,,,,,,,3655.00,0.54,0.56,0.440,,4.73,5.370,
Kepler-1319 b,0,2.88676239,,,,,0.330000,,,,3673.00,0.54,0.56,-0.030,-1.327,,,3.5600
Kepler-1319 b,0,,,,,,,38.45,,,3494.00,0.50,,,,,,
Kepler-132 b,0,6.17828255,0.064100,,,,0.000000,292.35,1055,,5921.00,1.04,0.92,-0.260,,4.36,,1.0301
Kepler-132 b,0,6.17816699,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 b,0,6.17800000,0.066400,,,,,,1194,,5879.00,1.41,1.02,-0.040,,4.15,,
Kepler-132 b,0,6.17817366,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 b,0,6.17828255,0.064100,,,,0.000000,292.35,1055,,5921.00,1.04,0.92,-0.260,,4.36,,1.0301
Kepler-132 b,0,6.17816500,0.066000,,,,0.000000,,1033,,5925.00,1.03,0.98,,,4.40,5.600,
Kepler-132 b,0,6.17809900,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 b,0,6.17819600,0.067000,,,,,,,,6003.00,1.18,,,,4.31,,
Kepler-132 b,0,6.17817366,0.064300,,,,0.000000,324.69,1082,,5931.00,1.10,0.93,-0.240,,4.32,,0.4139
Kepler-132 b,0,6.17828255,,,,,,,,,6023.00,1.10,1.03,-0.130,,4.37,4.370,
Kepler-132 b,0,6.17828255,0.064100,,,,0.000000,292.35,1055,,5921.00,1.04,0.92,-0.260,,4.36,,1.0301
Kepler-132 c,0,6.41490515,0.065700,,,,0.000000,278.29,1042,,5921.00,1.04,0.92,-0.260,,4.36,,0.4964
Kepler-132 c,0,6.41492075,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 c,0,6.41490515,0.065700,,,,0.000000,278.29,1042,,5921.00,1.04,0.92,-0.260,,4.36,,0.4964
Kepler-132 c,0,6.41492365,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 c,0,6.41490515,0.065700,,,,0.000000,278.29,1042,,5921.00,1.04,0.92,-0.260,,4.36,,0.4964
Kepler-132 c,0,6.41491400,0.068000,,,,,,,,6003.00,1.18,,,,4.31,,
Kepler-132 c,0,6.41491277,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 c,0,6.41500000,0.068100,,,,,,1179,,5879.00,1.41,1.02,-0.040,,4.15,,
Kepler-132 c,0,6.41491277,0.065900,,,,0.000000,309.12,1069,,5931.00,1.10,0.93,-0.240,,4.32,,0.2021
Kepler-132 c,0,6.41484200,0.067000,,,,0.000000,,1025,,5925.00,1.03,0.98,,,4.40,5.600,
Kepler-132 c,0,6.41490515,,,,,,,,,6023.00,1.10,1.03,-0.130,,4.37,4.370,
Kepler-132 d,0,18.01017554,0.130800,,,,0.000000,70.21,738,,5921.00,1.04,0.92,-0.260,,4.36,,6.0938
Kepler-132 d,0,18.01019956,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 d,0,18.01017554,,,,,,,,,6023.00,1.10,1.03,-0.130,,4.37,4.370,
Kepler-132 d,0,18.01018005,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 d,0,18.01019956,0.131200,,,,0.000000,77.99,758,,5931.00,1.10,0.93,-0.240,,4.32,,0.1100
Kepler-132 d,0,18.01019900,0.136000,,,,,,,,6003.00,1.18,,,,4.31,,
Kepler-132 d,0,18.01001000,0.134000,,,,0.000000,,725,,5925.00,1.03,0.98,,,4.40,5.600,
Kepler-132 d,0,18.01000000,0.135500,,,,,,836,,5879.00,1.41,1.02,-0.040,,4.15,,
Kepler-132 d,0,18.01017554,0.130800,,,,0.000000,70.21,738,,5921.00,1.04,0.92,-0.260,,4.36,,6.0938
Kepler-132 d,0,18.01017833,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 d,0,18.01017554,0.130800,,,,0.000000,70.21,738,,5921.00,1.04,0.92,-0.260,,4.36,,6.0938
Kepler-132 e,0,110.28670310,0.439300,,,,0.000000,6.96,414,,5931.00,1.10,0.93,-0.240,,4.32,,4.5801
Kepler-132 e,0,110.28693740,0.437800,,,,0.000000,6.27,404,,5921.00,1.04,0.92,-0.260,,4.36,,10.7147
Kepler-132 e,0,110.28670310,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 e,0,110.28683856,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 e,0,110.28693740,0.437800,,,,0.000000,6.27,404,,5921.00,1.04,0.92,-0.260,,4.36,,10.7147
Kepler-132 e,0,110.28653110,,,,,,,,,5904.77,,,-0.216,,,,
Kepler-132 e,0,110.28693740,,,,,,,,,6023.00,1.10,1.03,-0.130,,4.37,4.370,
Kepler-132 e,0,110.28693740,0.437800,,,,0.000000,6.27,404,,5921.00,1.04,0.92,-0.260,,4.36,,10.7147
Kepler-1320 b,0,0.86838635,,,,,,,,,4575.00,0.69,0.72,,-0.729,4.62,,3.1212
Kepler-1320 b,0,0.86838653,0.016400,,,,0.000000,930.93,1409,,4790.00,0.73,0.78,0.080,,4.60,,4.7682
Kepler-1320 b,0,0.86838544,,,,,,,,,4575.00,0.69,0.72,,-0.729,4.62,,3.1212
Kepler-1320 b,0,0.86838650,0.016000,,,,0.000000,,1334,,4735.00,0.65,0.68,,,4.64,13.400,
Kepler-1320 b,0,0.86838653,0.016400,,,,0.000000,930.93,1409,,4790.00,0.73,0.78,0.080,,4.60,,4.7682
Kepler-1320 b,0,,,,,,,672.11,,,4792.00,0.61,,,,,,
Kepler-1320 b,0,0.86838635,0.016300,,,,0.000000,880.33,1389,,4792.00,0.70,0.79,0.070,,4.63,,6.3299
Kepler-1320 b,0,0.86838653,,,,,,,,,4817.00,0.74,0.80,0.100,,4.60,3.160,
Kepler-1320 b,0,0.86838653,0.016400,,,,0.000000,930.93,1409,,4790.00,0.73,0.78,0.080,,4.60,,4.7682
Kepler-1321 b,0,11.12830596,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 b,0,11.12830484,0.088200,,,,0.000000,21.20,547,,4385.00,0.71,0.74,0.380,,4.61,,2.4602
Kepler-1321 b,0,11.12827427,0.078100,,,,0.000000,6.52,408,,3640.00,0.50,0.51,0.210,,4.74,,3.7709
Kepler-1321 b,0,,,,,,,13.55,,,3640.00,0.72,,,,,,
Kepler-1321 b,0,11.12830484,,,,,,,,,4094.00,0.53,0.54,-0.450,,4.73,4.170,
Kepler-1321 b,0,11.12830484,0.088200,,,,0.000000,21.20,547,,4385.00,0.71,0.74,0.380,,4.61,,2.4602
Kepler-1321 b,0,11.12827427,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 b,0,11.12832144,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 b,0,11.12830484,0.088200,,,,0.000000,21.20,547,,4385.00,0.71,0.74,0.380,,4.61,,2.4602
Kepler-1321 b,0,11.12831200,0.082000,,,,0.000000,,502,,4210.00,0.60,0.59,,,4.65,,
Kepler-1321 c,0,2.22649109,0.030200,,,,0.000000,180.83,935,,4385.00,0.71,0.74,0.380,,4.61,,4.1752
Kepler-1321 c,0,2.22649400,0.028000,,,,0.000000,,860,,4210.00,0.60,0.59,,,4.65,,
Kepler-1321 c,0,2.22648837,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 c,0,2.22649620,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 c,0,2.22648583,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 c,0,,,,,,,115.91,,,3640.00,0.72,,,,,,
Kepler-1321 c,0,2.22649109,,,,,,,,,4094.00,0.53,0.54,-0.450,,4.73,4.170,
Kepler-1321 c,0,2.22649109,0.030200,,,,0.000000,180.83,935,,4385.00,0.71,0.74,0.380,,4.61,,4.1752
Kepler-1321 c,0,2.22649109,0.030200,,,,0.000000,180.83,935,,4385.00,0.71,0.74,0.380,,4.61,,4.1752
Kepler-1321 c,0,2.22649620,0.026700,,,,0.000000,55.76,697,,3640.00,0.50,0.51,0.210,,4.74,,4.2315
Kepler-1321 d,0,5.72084100,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 d,0,5.72084599,,,,,,,,,4034.00,0.76,0.63,,-0.862,4.48,,2.0350
Kepler-1321 d,0,5.72087524,0.056600,,,,0.000000,51.48,683,,4385.00,0.71,0.74,0.380,,4.61,,1.5431
Kepler-1321 d,0,5.72084599,0.050100,,,,0.000000,15.84,509,,3640.00,0.50,0.51,0.210,,4.74,,2.4750
Kepler-1321 d,0,5.72085600,0.053000,,,,0.000000,,625,,4210.00,0.60,0.59,,,4.65,,
Kepler-1321 d,0,5.72087524,0.056600,,,,0.000000,51.48,683,,4385.00,0.71,0.74,0.380,,4.61,,1.5431
Kepler-1321 d,0,5.72092009,,,,,,,,,3640.00,0.50,0.51,0.210,,4.74,,2.4750
Kepler-1321 d,0,5.72087524,0.056600,,,,0.000000,51.48,683,,4385.00,0.71,0.74,0.380,,4.61,,1.5431
Kepler-1322 b,0,0.96286869,,,,,,,,,5425.00,1.01,0.94,,-0.101,4.40,,1.2928
Kepler-1322 b,0,0.96286417,,,,,,,,,5425.00,1.01,0.94,,-0.101,4.40,,1.2928
Kepler-1322 b,0,0.96286820,0.019000,,,,0.000000,,1689,,5720.00,0.85,0.96,,,4.56,0.400,
Kepler-1322 b,0,0.96286738,0.018300,,,,0.000000,1805.59,1662,,5693.00,0.80,0.88,-0.300,,4.57,,1.7430
Kepler-1322 b,0,0.96286738,0.018300,,,,0.000000,1805.59,1662,,5693.00,0.80,0.88,-0.300,,4.57,,1.7430
Kepler-1322 b,0,0.96286738,0.018300,,,,0.000000,1805.59,1662,,5693.00,0.80,0.88,-0.300,,4.57,,1.7430
Kepler-1322 b,0,0.96286738,,,,,,,,,5488.00,0.87,0.90,-0.070,,4.52,4.470,
Kepler-1322 b,0,,,,,,,2651.42,,,5698.00,0.97,,,,,,
Kepler-1322 b,0,0.96286417,0.018300,,,,0.000000,1828.67,1666,,5704.00,0.80,0.90,-0.300,,4.58,,0.6616
Kepler-1322 c,0,6.46005600,0.067000,,,,0.000000,,899,,5720.00,0.85,0.96,,,4.56,0.400,
Kepler-1322 c,0,6.46008273,0.065100,,,,0.000000,142.68,881,,5693.00,0.80,0.88,-0.300,,4.57,,9.9534
Kepler-1322 c,0,6.46008273,0.065100,,,,0.000000,142.68,881,,5693.00,0.80,0.88,-0.300,,4.57,,9.9534
Kepler-1322 c,0,6.46008273,0.065100,,,,0.000000,142.68,881,,5693.00,0.80,0.88,-0.300,,4.57,,9.9534
Kepler-1322 c,0,6.46004728,0.065200,,,,0.000000,144.06,883,,5704.00,0.80,0.90,-0.300,,4.58,,1.5048
Kepler-1322 c,0,6.46004728,,,,,,,,,5425.00,1.01,0.94,,-0.101,4.40,,1.2928
Kepler-1322 c,0,6.45998001,,,,,,,,,5704.00,0.80,0.90,-0.300,,4.58,,1.5048
Kepler-1323 b,0,0.92990668,0.019500,,,,0.000000,7201.70,2349,,6437.00,1.33,1.15,-0.180,,4.25,,1.2917
Kepler-1323 b,0,,,,,,,5067.60,,,6063.00,1.23,,,,,,
Kepler-1323 b,0,0.92990668,0.019500,,,,0.000000,7201.70,2349,,6437.00,1.33,1.15,-0.180,,4.25,,1.2917
Kepler-1323 b,0,0.92990668,,,,,,,,,6169.00,1.40,1.18,0.020,,4.21,3.550,
Kepler-1323 b,0,0.92990617,0.019100,,,,0.000000,6514.57,2291,,6039.00,1.41,1.07,-0.040,,4.17,,1.5482
Kepler-1323 b,0,0.92990760,0.020000,,,,0.000000,,2329,,6432.00,1.35,1.19,,,4.25,3.010,
Kepler-1323 b,0,0.92990617,,,,,,,,,6046.65,1.28,1.12,-0.028,0.295,4.28,,0.7577
Kepler-1323 b,0,0.92990668,0.019500,,,,0.000000,7201.70,2349,,6437.00,1.33,1.15,-0.180,,4.25,,1.2917
Kepler-1323 b,0,0.92990297,,,,,,,,,6046.65,1.28,1.12,-0.028,0.295,4.28,,0.7577
Kepler-1323 b,0,0.92990603,,,,,,,,,6046.65,1.28,1.12,-0.028,0.295,4.28,,0.7577
Kepler-1324 b,0,4.11584445,,,,,,,,,4572.00,0.73,0.72,,-0.673,4.56,,2.5699
Kepler-1324 b,0,4.11585514,,,,,,,,,4572.00,0.73,0.72,,-0.673,4.56,,2.5699
Kepler-1324 b,0,4.11584700,0.044000,,,,0.000000,,802,,4722.00,0.65,0.67,,,4.64,14.000,
Kepler-1324 b,0,4.11585514,0.046600,,,,0.000000,151.55,895,,4827.00,0.82,0.80,0.320,,4.51,,2.6182
Kepler-1324 b,0,4.11584468,0.046600,,,,0.000000,151.55,895,,4827.00,0.82,0.80,0.320,,4.51,,13.6908
Kepler-1324 b,0,4.11584468,,,,,,,,,4776.00,0.73,0.78,0.050,,4.61,2.880,
Kepler-1324 b,0,4.11584468,0.046600,,,,0.000000,151.55,895,,4827.00,0.82,0.80,0.320,,4.51,,13.6908
Kepler-1324 b,0,4.11584468,0.046600,,,,0.000000,151.55,895,,4827.00,0.82,0.80,0.320,,4.51,,13.6908
Kepler-1324 b,0,,,,,,,98.41,,,4820.00,0.66,,,,,,
Kepler-1325 b,0,33.87868380,,,,,,,,,5550.00,0.91,0.93,0.010,,4.50,4.790,
Kepler-1325 b,0,33.87892126,,,,,,,,,5470.00,0.95,0.96,,-0.136,4.46,,1.5684
Kepler-1325 b,0,33.87863900,0.200400,,,,0.000000,24.00,564,,5533.00,1.07,0.93,0.160,,4.35,,0.1148
Kepler-1325 b,0,33.87863998,,,,,,,,,5470.00,0.95,0.96,,-0.136,4.46,,1.5684
Kepler-1325 b,0,33.87868380,0.203900,,,,0.000000,17.97,525,,5717.00,0.88,0.98,0.000,,4.54,,0.2356
Kepler-1325 b,0,33.87868380,0.203900,,,,0.000000,17.97,525,,5717.00,0.88,0.98,0.000,,4.54,,0.2356
Kepler-1325 b,0,33.87868380,0.203900,,,,0.000000,17.97,525,,5717.00,0.88,0.98,0.000,,4.54,,0.2356
Kepler-1325 b,0,,,,,,,18.15,,,5533.00,0.93,,,,,,
Kepler-1325 b,0,33.87854000,0.201000,,,,0.000000,,510,,5669.00,0.83,0.94,,,4.57,0.400,
Kepler-1325 b,0,33.87863900,,,,,,,,,5470.00,0.95,0.96,,-0.136,4.46,,1.5684
Kepler-1326 b,0,,,,,,,47.84,,,6858.00,1.35,,,,,,
Kepler-1326 b,0,42.35142670,0.259600,,,,0.000000,57.92,704,,6856.00,1.41,1.31,-0.180,,4.26,,0.8560
Kepler-1326 b,0,42.35142670,,,,,,,,,6725.00,1.74,1.45,0.020,,4.12,1.700,
Kepler-1326 b,0,42.35183487,,,,,,,,,6732.00,1.34,1.43,,0.523,4.34,,0.8336
Kepler-1326 b,0,42.35142670,0.259600,,,,0.000000,57.92,704,,6856.00,1.41,1.31,-0.180,,4.26,,0.8560
Kepler-1326 b,0,42.35200390,,,,,,,,,6732.00,1.34,1.43,,0.523,4.34,,0.8336
Kepler-1326 b,0,42.35200390,0.274300,,,,0.000000,182.91,938,,6864.00,2.63,1.53,-0.160,,3.78,,0.3625
Kepler-1326 b,0,42.35120081,,,,,,,,,6732.00,1.34,1.43,,0.523,4.34,,0.8336
Kepler-1326 b,0,42.35142670,0.259600,,,,0.000000,57.92,704,,6856.00,1.41,1.31,-0.180,,4.26,,0.8560
Kepler-1326 b,0,42.35113000,0.261000,,,,0.000000,,685,,6858.00,1.34,1.33,,,4.31,0.740,
Kepler-1327 b,0,14.88801098,0.118600,,,,0.000000,112.85,831,,6143.00,1.12,1.00,-0.200,,4.34,,0.4615
Kepler-1327 b,0,14.88776650,,,,,,,,,5718.08,1.06,1.02,-0.295,0.036,4.39,,1.1995
Kepler-1327 b,0,14.88777821,,,,,,,,,5718.08,1.06,1.02,-0.295,0.036,4.39,,1.1995
